NO	Sentence	ID	book_name
1540	من بير آي آلين تري تؤكوب چكيك وورموشام.	o2	book1
1554	فياض گتيرديگي ني آچاندا گؤردوقويون ديلي دير.	o2	book1
1568	ايندي بيز بيلمك ايسته‌ييريك كي بو ايشي باجارارسانمي ؟	o2	book1
1582	او اؤز پولوموزلا بيزه بير تيكه چؤره‌ك وئرمه دي.	o2	book1
1596	گئجه‌نين بو وقتي نه اوخويوب ـ يازماق ؟	o2	book1
1610	نوبه‌ايله آياغيميزين آجيسيني آليب يولو باشا ووراريق.	o2	book1
1624	هئچ كس دادماييب – دئيه شير اونو ساكت‌لشديردي.	o2	book1
1638	بگ سئوينيب اونو آلاچيغا دعوت ائله‌دي.	o2	book1
1652	تولكو قازاني گؤره‌ن كيمي قيشقيردي:	o2	book1
1666	محمد ايشه باشلادي كيشيده قاييديب كنده گئتدي.	o2	book1
1680	ناراحات حالدا گليب، بؤيوك بير گؤلون قيراغيندا داياندي.	o2	book1
1694	مني دعوت ائتديين اوچون ساغ اول، من گله‌ بيلمه‌‌رم.	o2	book1
1708	محمد گؤلون قيراغينا گليب، بير مدت گؤز‌له‌يندن سونرا، گؤردو قوش گلدي.	o2	book1
1722	باخ بير شاعير، بو چؤلده هئچ كيمسه يوخدور، آمما ميلچك واردير.	o2	book1
1736	وآللاه منيم گناهيم يوخدور، من ائوي ائله بير مرتبه‌لي تيكيرديم، بونو اوستا اؤزو تيكيب.	o2	book1
1750	بو باخانلارين ايچيندن بير نفري تاپ سنين يئرينه اونو آساق.	o2	book1
1764	عمي اوغلويلا عم قيزينين کبينيني گؤيده کسيلر دئمک قوشوداحضرتين سؤزونه قولاق آسيرميش حضرت سؤزلريني قورتاراننان سونرا،سيمرغ دئدي:	o2	book1
1778	ايستيره‌م او چپري گتيره‌سن بورا!	o2	book1
1792	- ائله اونو چپر ايچينده گتير منيم يانيماآنجاق اوزووا کومکچي آپار تکجه گتيره بيلمز سن!	o2	book1
1806	رحيم اكبر چاوشي‌نين توپلاديغي و قلمه آلديغي تاريخي مثللر اثرينده بومثلين يارانماسيني بئله ايضاح ائدير:	o2	book1
1820	سهل بن مالك لقمانين يانينا گليب، قيزين قارداشي ايله دانيشدي.	o2	book1
1834	لاكين تحقيقات لاردان معلوم اولوركي، قدير آغاجي دقيق عنوانلي بير آغاجدير.	o2	book1
1848	سينماق و چورومك بيلمهين بو آغاجدان قديملرده بتلار حاضير لاييرديلار.	o2	book1
1862	آللاه بو آدامين ايسته‌يين يئرينه يئتيردي، باغ بير آيين ايچينده اؤز گؤزه‌‌للييني الدن وئردي.	o2	book1
1876	قارداشلار آتلارينا بير قامچي ووروب يولا دوشدولر.	o2	book1
1890	قيرميزي دئو سني گؤرسه، تيكه – پارچا ائله‌ير.	o2	book1
1904	ائله بيل، سن منه بوينو يوغونلوق ائله‌مك اوچون گليبسن، آمما بيليرسن‌كي، سني اؤلدورمه‌ميش بوردان قايتارماياجاغام.	o2	book1
1918	بونو دئييب آغ دئو اولان منطقه‌يه گئتدي.	o2	book1
1932	صياد گئجه ياتيب، سحريسي گون قارا دئوله دؤيوشمه‌يه باشلادي.	o2	book1
1946	گؤز‌لريني آچاندا گؤردو باشي‌نين اوسته، سوآتي دايانيب.	o2	book1
1960	صياد اوچ قيزي و بيرده سونا بولبولو گؤتوروب، گلديگي يول‌ايله قاييتدي.	o2	book1
1974	صياد قويويا طرف گئتمكده اولسون، قارداشلاردا بو طرفدن سونا بولبولو گؤتوروب، آتالارينين يانينا گلديلر.	o2	book1
1988	كروان اهلي گليب، صيادي قويودان چيخارديلار.	o2	book1
2002	شاه باخيب گؤردوكي، الجك همان اونون تايي‌دي.	o2	book1
2016	سن گئت شاهين يانينا و اونا دﺉ‌كي، اؤز آتيني وئر منيم اوغلوم گئديب، دوشماني يئرينده اوتوردار.	o2	book1
2030	شاه ايذن وئردي و صياددا چانتوسون قوشونلاري اولان يئره يوللاندي.	o2	book1
2044	آمما بئله دوشونوره‌م‌كي، اونلاردان سنه اوغول و منه‌ده قارداش اولماز.	o2	book1
2058	هرگاه من بوغومو ساغ طرفه ترپتسم گناهلار، باغيشلانار، سول طرفه ترپتسم قانلار آخيديلار.	o2	book1
2072	حؤكمدار اصرار ائتديكدن سونرا، اوغلان دئدي:	o2	book1
2086	او طرفدن بير قيرقي گلدي، اودا بوندان دادماق ايسته‌دي.	o2	book1
2100	اينديكي بئله اولدو، گرك هامي من دئينه باخسين.	o2	book1
2114	دﺉ گؤروم سني بورايا گتيره‌ن كيم اولدو ؟	o2	book1
2128	آيي‌دا توكانلارا گيريب، بير توپ گؤزه‌ل پارچا قاپدي.	o2	book1
2142	اوغلان قارييا اوره‌يي يانيب، اونو اؤزوايله ائوه گتيرمك ايسته‌دي.	o2	book1
2156	قيز اليني شوشه‌يه وورماق همن، شوشه‌ايله بيرليكده قيز اوچوب ائولرينه گلدي.	o2	book1
2170	گونئي پادشاهي قيزي‌نين يئني‌دن اوغورلانماسينا چوخ حيرصلندي و اونا گؤره‌ده اوغلانا ساواش اعلان ائتدي.	o2	book1
2184	شاه اوغلاني گؤروب، اؤز - گؤزوندن اؤپدو و اوندان باغيش ديله‌دي.	o2	book1
2198	سيز من اوچون آغاجدان ايكي آرابا حاضيرلايين.	o2	book1
2212	ـ بابا داغلارا يامان قار دوشوب.	o2	book1
2226	سنه نه واركي، سنه قيش دا ياي كيمي‌دير.	o2	book1
2240	بو موضوع یالنیز بیزیم بو گون ائشیتدیگیمیز آذربایجان ناغیللاریندا دئییل، قدیم مصر ناغیللاریندا دا واردیر.	o2	book2
2254	بیرر-بیرر گؤز اؤنوندن کئچیب گئدیر.	o2	book2
2268	آخیردا قرارا گلیر کی، بو سیرّی قارنیمدا ساخلایینجا، قوی گئدیم داغا-داشا دئییم.	o2	book2
2282	قولیابانی دمیردن قورخدوغو اوچون یاخاسینداکی ایینه‌یه ال وورماغا جسارت ائتمیر، کوچه‌ده اوینایان اوشاقلارا شیرنی وئر‌رک ایینه‌نی چیخارتدیرار و سونرا قاچارمیش.	o2	book2
2296	بونلارین جانی شوشه‌ده اولور، اؤزوندن خاریجده ساخلانیر، بو قابی الده ائدیب قیران آدام دیوه قالیب گلرمیش.	o2	book2
2310	ناغیل دانیشان ناغیلی آنلادیغی، خاطیرلادیغی و ذؤوقونه اویغون اولدوغو کیمی سؤیله‌ییر.	o2	book2
2324	باجیلارین پاخیللیغینی، اؤگئی آنانین ظالیملیغینی ، آروادین وفاسیزلیغینی، قادی‌نین کم عاغیللیغینی ناغیللاردا گؤرونور.	o2	book2
2338	ایت، پیشیک، آیی، مئیمون، خوصوصاً آت، بعضا عاغیللی ایلانلار، حیکمت صاحبی اولان قوشلار، آغ و قارا قویونلار قهرمانا یاردیم ائدیرلر.	o2	book2
2352	بو صورتله ناغیلین اؤزو تاریخی زمیندن شیره آلاراق یازیلی ادبيّاتدا ثمره‌‌‌ وئرمک اوچون یئنی بیر زمین حاضرلاییر.	o2	book2
2366	ناغیللارداکی وزیرلر ده شاهلاردان چوخ دا اوزاق‌گؤرن اولمورلار، بونلار سارساق، روشوت خور و قادینا حریص انسانلاردیر.	o2	book2
2380	بو جور قادینلار ار ائوینه ساتیلماییر.	o2	book2
2394	آللهین عاجیز بنده‌سی چوخ ایدی.	o2	book2
2408	– جینّی دره‌یه گیر‌رم، – دئدی.	o2	book2
2422	– علیمردان، بو دره‌دن گلدین، قورخمادین ؟	o2	book2
2436	بو دفعه‌‌ یقین منی اؤلدوره‌جک.	o2	book2
2450	اوندا یئتیردی کی، آغ ایلان اؤزونو دلیکدن ایچری سوخور.	o2	book2
2464	آغ ایلان دئدیگی کیمی پادشاها دئدی.	o2	book2
2478	سن ده قیلینج بازلیق ائلیییب، منی یارالادین.	o2	book2
2492	بونو بورادا قویاخ، سیزه کیمدن خبر وئریم، قیزین قارداشلاریندان.	o2	book2
2506	– هر نه ایسه، بو ائوین صاحبی بیر یانا گئدیب، قاییداجاخ.	o2	book2
2520	دئو بیر طرفده، قیز دا بیر طرفده یاتیب گئجه‌نی صاباح ائله‌دیلر.	o2	book2
2534	گؤردو کی، باجیسی اوتوروب چؤرگی حاضیرلاییر.	o2	book2
2548	دئونن گؤی مینجیخ نه قدر ائله‌دی کی، گل گئتمه.	o2	book2
2562	اؤکوز دوز گئدیب دوردو بیر کوللوخدا، ایت ده گئتدی دوردو بیر چایین اورتاسیندا.	o2	book2
2576	چؤرگین قیراغین کسیب قویدو بیر یانا، باشلادی اورتاسین یئمه‌یه.	o2	book2
2590	– گؤی مینجیخ، دور بونو چیخارت چؤله، سسین کسسین.	o2	book2
2604	– گؤی مینجیخ، او ندی، کیمه قازیرسان ؟	o2	book2
2618	– خالا، من بوردایام، نه قوللوغون وار ؟	o2	book2
2632	کیشی آروادی-زادی دا یادیندان چیخاردیب اؤز هایینا قالدی.	o2	book2
2646	گؤردو ائله یاخشی کیشمیش ساتیللار کی، آغزی‌نین سویو باشلادی آخماغا.	o2	book2
2660	– آی کؤپک اوغلو، من الیمنن اونا-بونا ایشلهییب سنی ساخلاییرام، سن ده منیم اوغروم اولوبسان.	o2	book2
2674	آخیردا بازارین لاپ قیراغیندا قیرخ لوطو اوتورموشدو.	o2	book2
2688	لوطوباشی او ساعت محمّدی چاغیریب دئدی:	o2	book2
2702	اوغلان او طرفه چکدی، محمّد بو طرفه، آخیردا اوغلانین بیر تای جورابو دا چیخدی محمّدین الینده قالدی.	o2	book2
2716	منیم ائویمی یاریب قیرخ جوت جورابیمی آپاریبلار.	o2	book2
2730	– قبله-عالم ساغ اولسون، بو کئچل بو باققالین ائوینی یاریب، مالین آپاریب.	o2	book2
2744	لوطولار ائله کی گلیب چیخدیلار حماما، گؤردولر محمّد طؤوله میخی چالیب چیخیب گئدیب.	o2	book2
2758	گمی گونه بیر منزیل طی منازیل بیر نئچه گون یول گئتمیشدی.	o2	book2
2772	بورنو جیریلدی، سیرغا دا قالدی محمّدین الینده.	o2	book2
2786	سن نه جرأت ائلهییب منیم مکانیما گلمیسن.	o2	book2
2800	محمّد بو گئدیشندن تمام اون گون، اون گئجه یول گئتدی.	o2	book2
2814	یاواش-یاواش سویا طرف گلیب گؤردو بیر چارحوووضدی، دئییرسن واللاه، سویو آب-کوثردی.	o2	book2
2828	منی او دیوارا، بو دیوارا او قدر ووردو کی، بیر قات قابیغیم گئتدی.	o2	book2
2842	کاش او بوردا اولایدی، بو خؤرگی اوننان یئییب اونا اره گئدیدیم.	o2	book2
2856	– آنا، چارشابدان-زاددان بیر شئی وارمی، تئز وئر منه، آرواد آلمیشام.	o2	book2
2870	محمّدین تاماهی دوشوب اوتدو بیر آز حلیم ایچمه‌یه.	o2	book2
2884	– محمّد، بلکه بو جورابون بیر جوتونو منه وئره‌سن.	o2	book2
2898	گؤردو، واللاه شهرین بیر یئرینده بیر عمارات تیکیلیب، هئچ پادشاها میسر دئییل.	o2	book2
2912	کئچل کور-پئشمان، سویو تؤکولموش قاری کیمی قاییتدی.	o2	book2
2926	قاییداندا بو لؤحو اوخویارسان، اولاجاخسان ائویمیزده، قورخما.	o2	book2
2940	محمّد قاییدیب پیلکانلارینان قالخدی یوخاری، چؤله چیخیب داشی گئنه چئویردی یئرینه.	o2	book2
2954	محمّد ائوه گئتمکده اولسون، گؤرک پادشاه نه قاییریر ؟	o2	book2
2968	– بلی، خانیم، مگر بو آزدی، سویون اوزونده ده ائو تیکدیرمک اولار ؟	o2	book2
2982	گئجه‌نی یاتدیلار، صاباح اوزوز خئیره آچیلسین.	o2	book2
2996	محمّدی گؤتوروب باشی اوسته ائله ووردولار یئره کی، محمّد بو ایلمی اؤلوبموش، بیلدیرمی، بوواخ، اؤزوندن گئتدی.	o2	book2
3010	بیر مدتدن سورا محمّدین بیر اوغلو دا اولدو.	o2	book2
3024	هر ایکیسی واخت اولدی کی، دوغدولار.	o2	book2
3038	مولّا گلنده گؤردو کی، بونللار قان-ترین ایچینده‌دیلر.	o2	book2
3052	قوشونا امر ائله‌دیلر کی، اتدن چپر چکین اونون دؤرد طرفینه.	o2	book2
3066	کاغیذی آشدیلار، باخدیلار گؤردولر کی، بو بیر قیزدی کی، الله تعالا خوش گونده، خوش ساعتدا یارادیب.	o2	book2
3080	بو باش نه قدر کی ساغدی، گرک او قیزی گتیرم.	o2	book2
3094	اوندا او دا منی سنه وئرر.	o2	book2
3108	– آی قیز، دئیللر هر گؤزلده بیر عیب وار، سنده ده بو یومرو ؟	o2	book2
3122	احمدی چیلینگی آدیندا بیر آدام واریدی.	o2	book2
3136	بونو گوتوردو قالخیزدی، گتیردی کی، ملیک احمدین باشینا سالسین.	o2	book2
3150	گؤردو احمدی-کمخؤرگی قیزا توی ائلهییر اؤزینه.	o2	book2
3164	آتدیلار گؤردولر، بلی بیر آتدی گلیر، گویا روستم قبیردن دیریلیب.	o2	book2
3178	او آت گلن کیمی ووردو آتی اؤلدوردو.	o2	book2
3192	– دئینده ملیک احمد یارییاجان داش اولدی.	o2	book2
3206	بیری سنین، بیری منیم، بیری ده ناغیل دئیه‌نین.	o2	book2
